,title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Has_Service_History,Mileage,Car_Age,Engine_Bin,Mileage_per_Year,Log_Price,Log_Mileage,Age_Band,title_lower,Is_Premium,Brand,Model,Usage_Level,Expected_Mileage,Mileage_Delta,Owners_per_Year,Price_per_Seat,Price_per_Year_Age,Door_Category,Is_Family_Car,Brand_Avg_Price,Model_Avg_Price,Engine_per_Seat,Car_Age_Squared,Premium_Age
2042,Ford Fiesta,2490,42800,2007,3,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,0,42800,16,Small (≤1.4L),2675.0,7.820037989458753,10.664293381569887,10+,ford fiesta,0,Ford,Fiesta,Low,144000,-101200,0.1875,498.0,146.47058823529412,Small,1,4866.40931372549,4458.5078125,0.24,256,0
2043,Vauxhall Adam,4990,67000,2014,3,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 5,0,67000,9,Small (≤1.4L),7444.444444444444,8.515191188745565,11.112447898373103,6-10,vauxhall adam,0,Vauxhall,Adam,Normal,81000,-14000,0.3333333333333333,1247.5,499.0,Small,0,4633.5329670329675,5269.733333333334,0.35,81,0
2044,Audi A4,7990,80000,2012,3,Petrol,Saloon,1.8,Manual,4.0,5.0,Euro 5,0,80000,11,Medium (1.4–2.0L),7272.727272727273,8.98594603876032,11.289781913656018,10+,audi a4,1,Audi,A4,Normal,99000,-19000,0.2727272727272727,1598.0,665.8333333333334,Sedan,1,7717.627586206897,6004.066666666667,0.36,121,11
2045,SKODA Fabia,2499,79972,2006,1,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4,0,79972,17,Small (≤1.4L),4704.235294117647,7.823645930834952,11.289431852391724,10+,skoda fabia,0,Skoda,Fabia,Low,153000,-73028,0.058823529411764705,499.8,138.83333333333334,Family,1,5569.619047619048,5444.8378378378375,0.24,289,0
2046,Toyota Yaris,3550,95200,2006,5,Diesel,Hatchback,1.4,Automatic,5.0,5.0,Euro 4,0,95200,17,Small (≤1.4L),5600.0,8.174702882469461,11.463735220779457,10+,toyota yaris,0,Toyota,Yaris,Normal,153000,-57800,0.29411764705882354,710.0,197.22222222222223,Family,1,5280.310160427807,5836.8375,0.27999999999999997,289,0
2047,Land Rover Freelander 2,7547,122000,2012,3,Diesel,SUV,2.2,Automatic,5.0,5.0,Euro 5,1,122000,11,Large (2.0–3.0L),11090.90909090909,8.928905412284868,11.711776323715394,10+,land rover freelander 2,1,Land Rover,Rover Freelander 2,Normal,99000,23000,0.2727272727272727,1509.4,628.9166666666666,Family,1,10741.42857142857,4927.333333333333,0.44000000000000006,121,11
2048,Peugeot RCZ,8990,46284,2014,3,Petrol,Coupe,1.6,Automatic,2.0,4.0,Euro 5,0,46284,9,Medium (1.4–2.0L),5142.666666666667,9.103868127465667,10.742551607996228,6-10,peugeot rcz,0,Peugeot,RCZ,Normal,81000,-34716,0.3333333333333333,2247.5,899.0,Coupe,0,5463.955102040816,6828.333333333333,0.4,81,0
2049,Peugeot 207,2950,59000,2012,2,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 5,0,59000,11,Small (≤1.4L),5363.636363636364,7.989560449333865,10.985292722887856,10+,peugeot 207,0,Peugeot,207,Normal,99000,-40000,0.18181818181818182,590.0,245.83333333333334,Small,1,5463.955102040816,1680.4255319148936,0.27999999999999997,121,0
2050,Mercedes-Benz E Class,9490,32000,2011,3,Diesel,Saloon,2.1,Automatic,4.0,5.0,Euro 5,1,32000,12,Large (2.0–3.0L),2666.6666666666665,9.157993891603974,10.373491181781864,10+,mercedes-benz e class,1,Mercedes,E Class,Low,108000,-76000,0.25,1898.0,730.0,Sedan,1,7747.066666666667,6643.454545454545,0.42000000000000004,144,12
2051,KIA Proceed,5995,77570,2014,4,Diesel,Hatchback,1.6,Manual,3.0,5.0,Euro 5,0,77570,9,Medium (1.4–2.0L),8618.888888888889,8.698681067461614,11.258936033484916,6-10,kia proceed,0,Kia,Proceed,Normal,81000,-3430,0.4444444444444444,1199.0,599.5,Small,1,7702.641975308642,5995.0,0.32,81,0
2052,Vauxhall Astra,4495,81222,2011,3,Diesel,Hatchback,2.0,Automatic,5.0,5.0,Euro 5,0,81222,12,Medium (1.4–2.0L),6768.5,8.410720946905721,11.30494142541384,10+,vauxhall astra,0,Vauxhall,Astra,Normal,108000,-26778,0.25,899.0,345.7692307692308,Family,1,4633.5329670329675,3344.948051948052,0.4,144,0
2053,Volkswagen Scirocco,5695,108582,2011,3,Diesel,Hatchback,2.0,Manual,3.0,4.0,Euro 5,0,108582,12,Medium (1.4–2.0L),9048.5,8.647343875881283,11.595260926888256,10+,volkswagen scirocco,0,Volkswagen,Scirocco,Normal,108000,582,0.25,1423.75,438.0769230769231,Small,0,6555.732824427481,5137.222222222223,0.5,144,0
2054,Ford Focus,1499,113187,2008,2,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,0,113187,15,Medium (1.4–2.0L),7545.8,7.312553498102598,11.63679659716709,10+,ford focus,0,Ford,Focus,Normal,135000,-21813,0.13333333333333333,299.8,93.6875,Family,1,4866.40931372549,4982.664596273292,0.32,225,0
2055,Audi A4,7990,80000,2012,3,Petrol,Saloon,1.8,Manual,4.0,5.0,Euro 5,0,80000,11,Medium (1.4–2.0L),7272.727272727273,8.98594603876032,11.289781913656018,10+,audi a4,1,Audi,A4,Normal,99000,-19000,0.2727272727272727,1598.0,665.8333333333334,Sedan,1,7717.627586206897,6004.066666666667,0.36,121,11
2056,Toyota Yaris,2995,81224,2006,3,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 4,0,81224,17,Small (≤1.4L),4777.882352941177,8.00469951054955,11.30496604898106,10+,toyota yaris,0,Toyota,Yaris,Low,153000,-71776,0.17647058823529413,599.0,166.38888888888889,Small,1,5280.310160427807,5836.8375,0.2,289,0
