,Registration_Year,Fuel type,Body type,Engine,Gearbox,Emission Class,Car_Age,Mileage_per_Year,Log_Price,Log_Mileage,Brand,Model,Car_Age_Squared,Premium_Age,Mileage_Age_Interaction,Mileage_per_Age,Age_3_plus,Age_5_plus,Age_8_plus,Engine_Age,Engine_per_Year,Mileage_Ratio,Mileage_Above_Normal,Is_New,Is_Old,Lifecycle_Stage,Is_Early_Life,Is_Mid_Life,Is_End_of_Life,Remaining_Life,Depreciation_Phase,Brand_Tier,Brand_Strength,Brand_Residual_Score,Age_Adjusted_Mileage
98,2010,Petrol,Hatchback,1.4,Manual,Euro 5,13,8005.2307692307695,8.00469951054955,11.55279981061309,Honda,Civic,169,0,150.18639753797018,0.8251999864723636,10,8,5,18.2,0.09999999999999999,0.6671025641025641,-3994.7692307692305,0,1,Late,0,0,1,2,0.8666666666666667,Upper_Mid,2,0.14285714285714285,5.776399905306545
99,2011,Petrol,Hatchback,1.8,Manual,Euro 5,12,6583.333333333333,7.989560449333865,11.27720313144916,Vauxhall,Insignia,144,0,135.32643757738992,0.8674771639576276,9,7,4,21.6,0.13846153846153847,0.548611111111111,-5416.666666666667,0,1,Late,0,0,1,3,0.8,Budget,0,0.0,11.27720313144916
100,2012,Petrol,Hatchback,1.2,Manual,Euro 5,11,8454.545454545454,7.575584651557793,11.440354772135391,Vauxhall,Corsa,121,0,125.84390249348931,0.9533628976779492,8,6,3,13.2,0.09999999999999999,0.7045454545454545,-3545.454545454546,0,1,Late,0,0,1,4,0.7333333333333333,Budget,0,0.0,11.440354772135391
101,2020,Petrol,Hatchback,1.2,Manual,Euro 6,3,7594.0,9.277812087091196,10.033726029459856,Vauxhall,Corsa,9,0,30.10117808837957,2.508431507364964,0,0,0,3.5999999999999996,0.3,0.6328333333333334,-4406.0,0,0,Early,1,0,0,12,0.2,Budget,0,0.0,10.033726029459856
102,2016,Petrol,SUV,1.6,Manual,Euro 6,7,7146.857142857143,9.2299469016151,10.820338127668798,Kia,Sportage,49,0,75.74236689368158,1.3525422659585997,4,2,0,11.200000000000001,0.2,0.5955714285714286,-4853.142857142857,0,0,Mid,0,1,0,8,0.4666666666666667,Mid,1,0.125,10.820338127668798
103,2005,Petrol,Hatchback,1.6,Manual,Euro 3,18,6193.277777777777,6.895682697747868,11.621591511336778,Ford,Focus,324,0,209.188647204062,0.6116627111229883,15,13,10,28.8,0.08421052631578947,0.5161064814814814,-5806.722222222223,0,1,Late,0,0,1,0,1.2,Mid,1,0.05263157894736842,11.621591511336778
104,1995,Diesel,Hatchback,2.5,Manual,Euro 2,28,4500.0,8.086410275323782,11.744037185933616,Citroen,XM,784,0,328.8330412061412,0.4049667995149523,25,23,20,70.0,0.08620689655172414,0.375,-7500.0,0,1,Late,0,0,1,0,1.8666666666666667,Mid,1,0.034482758620689655,11.744037185933616
105,2000,Petrol,Saloon,1.9,Manual,Euro 3,23,3478.2608695652175,7.236339342754344,11.289781913656018,BMW,3 Series,529,23,259.6649840140884,0.47040757973566744,20,18,15,43.699999999999996,0.07916666666666666,0.2898550724637681,-8521.739130434782,0,1,Late,0,0,1,0,1.5333333333333334,Premium,3,0.125,3.7632606378853395
106,2003,Petrol,Hatchback,1.6,Manual,Euro 3,20,4995.55,7.240649694255466,11.512035068685082,Mini,Hatch,400,0,230.24070137370163,0.548192146127861,17,15,12,32.0,0.0761904761904762,0.41629583333333336,-7004.45,0,1,Late,0,0,1,0,1.3333333333333333,Upper_Mid,2,0.09523809523809523,5.756017534342541
107,2007,Petrol,Hatchback,1.6,Manual,Euro 4,16,2875.0,7.820037989458753,10.736396675471232,Mini,Hatch,256,0,171.7823468075397,0.6315527456159549,13,11,8,25.6,0.09411764705882353,0.23958333333333334,-9125.0,0,1,Late,0,0,1,0,1.0666666666666667,Upper_Mid,2,0.11764705882352941,5.368198337735616
108,2014,Petrol,Hatchback,1.6,Manual,Euro 5,9,13333.333333333334,7.970740390007095,11.695247021764184,Vauxhall,Astra,81,0,105.25722319587766,1.1695247021764184,6,4,1,14.4,0.16,1.1111111111111112,1333.333333333334,0,0,Mid,0,1,0,6,0.6,Budget,0,0.0,11.695247021764184
109,2012,Diesel,SUV,2.2,Manual,Euro 5,11,7181.818181818182,8.098338846189057,11.27720313144916,Vauxhall,Antara,121,0,124.04923444594075,0.9397669276207633,8,6,3,24.200000000000003,0.18333333333333335,0.5984848484848485,-4818.181818181818,0,1,Late,0,0,1,4,0.7333333333333333,Budget,0,0.0,11.27720313144916
110,2014,Petrol,Hatchback,1.8,Manual,Euro 5,9,12666.666666666666,8.242493153187626,11.643953727376632,Vauxhall,Insignia,81,0,104.79558354638968,1.1643953727376632,6,4,1,16.2,0.18,1.0555555555555556,666.6666666666661,0,0,Mid,0,1,0,6,0.6,Budget,0,0.0,11.643953727376632
111,2008,Petrol,Hatchback,1.6,Automatic,Euro 4,15,4400.0,7.987864096085687,11.097410021008562,Peugeot,207,225,0,166.46115031512844,0.6935881263130351,12,10,7,24.0,0.1,0.36666666666666664,-7600.0,0,1,Late,0,0,1,0,1.0,Mid,1,0.0625,11.097410021008562
112,2009,Petrol,Hatchback,1.4,Manual,Euro 4,14,4642.857142857143,7.823645930834952,11.082142548877776,Nissan,Note,196,0,155.14999568428885,0.7388095032585185,11,9,6,19.599999999999998,0.09333333333333332,0.3869047619047619,-7357.142857142857,0,1,Late,0,0,1,1,0.9333333333333333,Mid,1,0.06666666666666667,11.082142548877776
113,2008,Petrol,Hatchback,1.6,Manual,Euro 4,15,9373.266666666666,6.682108597449809,11.853667145957877,Ford,Focus,225,0,177.80500718936815,0.7408541966223673,12,10,7,24.0,0.1,0.7811055555555555,-2626.7333333333336,0,1,Late,0,0,1,0,1.0,Mid,1,0.0625,11.853667145957877
114,2016,Petrol,SUV,1.6,Manual,Euro 6,7,7146.857142857143,9.2299469016151,10.820338127668798,Kia,Sportage,49,0,75.74236689368158,1.3525422659585997,4,2,0,11.200000000000001,0.2,0.5955714285714286,-4853.142857142857,0,0,Mid,0,1,0,8,0.4666666666666667,Mid,1,0.125,10.820338127668798
115,2017,Petrol,Hatchback,1.5,Manual,Euro 6,6,7820.5,9.210340371976184,10.756263239342353,Mini,Hatch,36,0,64.53757943605412,1.5366090341917646,3,1,0,9.0,0.21428571428571427,0.6517083333333333,-4179.5,0,0,Mid,0,1,0,9,0.4,Upper_Mid,2,0.2857142857142857,5.378131619671176
116,2011,Petrol,Hatchback,1.2,Manual,Euro 5,12,8255.083333333334,7.937017489515454,11.50349110098326,Seat,Ibiza,144,0,138.0418932117991,0.8848839308448662,9,7,4,14.399999999999999,0.0923076923076923,0.6879236111111111,-3744.916666666666,0,1,Late,0,0,1,3,0.8,Upper_Mid,2,0.15384615384615385,5.75174555049163
117,2009,Diesel,Hatchback,2.0,Manual,Euro 4,14,13142.857142857143,6.902742737158593,12.122691036591124,Mercedes,A Class,196,14,169.71767451227575,0.8081794024394083,11,9,6,28.0,0.13333333333333333,1.0952380952380953,1142.8571428571431,0,1,Late,0,0,1,1,0.9333333333333333,Premium,3,0.2,4.040897012197042
118,2004,Petrol,Saloon,3.0,Automatic,Euro 3,19,7315.789473684211,7.989560449333865,11.842229212112828,BMW,5 Series,361,19,225.00235503014375,0.5921114606056415,16,14,11,57.0,0.15,0.6096491228070176,-4684.210526315789,0,1,Late,0,0,1,0,1.2666666666666666,Premium,3,0.15000000000000002,3.947409737370943
119,1999,Petrol,SUV,2.0,Automatic,Euro 3,24,5000.0,7.236339342754344,11.695247021764184,Honda,Cr-v,576,0,280.6859285223404,0.46780988087056735,21,19,16,48.0,0.08,0.4166666666666667,-7000.0,0,1,Late,0,0,1,0,1.6,Upper_Mid,2,0.08,5.847623510882092
120,2007,Petrol,Hatchback,1.2,Manual,Euro 4,16,5312.5,6.897704943128636,11.350406535472452,Proton,Savvy,256,0,181.60650456755923,0.6676709726748501,13,11,8,19.2,0.07058823529411765,0.4427083333333333,-6687.5,0,1,Late,0,0,1,0,1.0666666666666667,Budget,0,0.0,11.350406535472452
